onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id2	a2	n/a	n/a
20.07	5	face	id2	a2	2.01	same
25.04	5	fixation	n/a	n/a	n/a	n/a
30.07	5	face	id2	a4	2.29	same
35.07	5	face	id1	a2	2.19	different
40.07	5	face	id1	a1	2.13	same
45.07	5	face	id3	a4	2.1	different
50.07	5	face	id2	a1	1.99	different
55.07	5	face	id1	a4	2.25	different
60.07	5	face	id2	a5	2.17	different
65.08	5	face	id4	a4	2.18	different
70.08	5	face	id3	a3	2.08	different
75.08	5	face	id3	a5	2.07	same
80.08	5	face	id4	a5	2.11	different
85.08	5	face	id1	a3	2.6	different
90.08	5	face	id3	a1	2.66	different
95.08	5	face	id2	a3	2.19	different
100.08	5	face	id1	a5	2.19	different
105.08	5	face	id4	a3	2.17	different
110.08	5	face	id3	a2	2.26	different
115.09	5	face	id4	a1	2.1	different
120.1	5	face	id4	a2	2.14	same
125.1	5	face	id4	a2	2.33	same
130.1	5	face	id2	a3	2.21	different
135.1	5	face	id2	a5	2.7	same
140.1	5	face	id1	a5	2.44	different
145.07	5	fixation	n/a	n/a	n/a	n/a
150.1	5	face	id4	a4	2.06	different
155.1	5	face	id4	a3	2.06	same
160.1	5	face	id2	a4	2.04	different
165.1	5	face	id3	a3	2.2	different
170.1	5	face	id3	a2	2.07	same
175.1	5	face	id1	a2	2.09	different
180.11	5	face	id3	a5	2.07	different
185.11	5	face	id4	a1	2.21	different
190.11	5	face	id1	a1	2.0	different
195.11	5	face	id1	a3	2.13	different
200.11	5	face	id2	a2	2.04	different
205.11	5	face	id3	a4	2.25	different
210.11	5	face	id3	a1	2.21	same
215.11	5	face	id1	a4	2.09	different
220.11	5	face	id2	a1	2.06	different
225.12	5	face	id4	a5	2.09	different
230.12	5	face	id4	a5	2.23	same
235.09	5	fixation	n/a	n/a	n/a	n/a
240.13	5	face	id2	a5	2.07	different
245.13	5	face	id2	a3	2.31	same
250.13	5	face	id2	a4	2.13	same
255.13	5	face	id4	a4	1.99	different
260.13	5	face	id1	a5	2.25	different
265.13	5	face	id1	a2	2.18	same
270.13	5	face	id3	a3	2.06	different
275.13	5	face	id4	a3	2.05	different
280.13	5	face	id1	a1	2.22	different
285.13	5	face	id3	a5	2.19	different
290.13	5	face	id3	a2	2.14	same
295.13	5	face	id3	a4	1.99	same
300.14	5	face	id1	a3	2.26	different
305.14	5	face	id4	a1	2.19	different
310.14	5	face	id2	a1	2.08	different
315.14	5	face	id4	a2	2.13	different
320.14	5	face	id2	a2	2.37	different
325.14	5	face	id1	a4	1.95	different
330.14	5	face	id3	a1	2.03	different
