onset	duration	stim_type	identity	orientation	reaction_time	response
15.08	5	face	id2	a2	n/a	n/a
20.08	5	face	id2	a2	2.66	same
25.08	5	face	id4	a3	n/a	n/a
30.08	5	face	id1	a4	2.34	different
35.08	5	face	id2	a5	n/a	n/a
40.09	5	face	id1	a3	2.43	different
45.09	5	face	id3	a3	n/a	n/a
50.09	5	face	id3	a5	2.34	same
55.09	5	face	id4	a2	n/a	n/a
60.09	5	face	id3	a2	2.27	different
65.1	5	face	id3	a4	n/a	n/a
70.1	5	face	id4	a5	2.5	different
75.1	5	face	id1	a5	n/a	n/a
80.1	5	face	id2	a4	2.51	different
85.1	5	face	id1	a1	n/a	n/a
90.1	5	face	id3	a1	2.3	different
95.11	5	face	id4	a4	n/a	n/a
100.11	5	face	id4	a1	2.35	same
105.11	5	face	id2	a3	n/a	n/a
110.11	5	face	id2	a1	2.26	same
115.08	5	fixation	n/a	n/a	n/a	n/a
120.1	5	face	id1	a2	1.81	same
125.12	5	face	id1	a2	2.19	same
130.12	5	face	id1	a4	n/a	n/a
135.12	5	face	id3	a5	2.27	different
140.12	5	face	id4	a3	n/a	n/a
145.11	5	face	id3	a2	2.23	different
150.11	5	face	id4	a2	n/a	n/a
155.11	5	face	id2	a4	2.22	different
160.13	5	face	id3	a4	n/a	n/a
165.09	5	fixation	n/a	n/a	n/a	n/a
170.12	5	face	id2	a3	1.81	same
175.12	5	face	id1	a1	2.28	different
180.12	5	face	id2	a1	n/a	n/a
185.12	5	face	id3	a3	2.17	different
190.13	5	face	id2	a5	n/a	n/a
195.13	5	face	id4	a5	2.3	different
200.13	5	face	id1	a3	n/a	n/a
205.13	5	face	id4	a4	2.33	different
210.13	5	face	id2	a2	n/a	n/a
215.13	5	face	id4	a1	2.14	different
220.13	5	face	id3	a1	n/a	n/a
225.14	5	face	id1	a5	2.32	different
230.14	5	face	id1	a5	n/a	n/a
235.14	5	face	id3	a2	2.45	different
240.14	5	face	id1	a1	n/a	n/a
245.14	5	face	id2	a5	2.28	different
250.13	5	face	id3	a3	n/a	n/a
255.15	5	face	id4	a2	2.24	different
260.15	5	face	id2	a3	n/a	n/a
265.15	5	face	id1	a4	2.38	different
270.15	5	face	id4	a5	n/a	n/a
275.14	5	face	id4	a3	2.12	same
280.14	5	face	id2	a2	n/a	n/a
285.14	5	face	id3	a4	2.36	different
290.16	5	face	id2	a1	n/a	n/a
295.16	5	face	id4	a4	2.19	different
300.15	5	face	id1	a3	n/a	n/a
305.15	5	face	id3	a1	2.18	different
310.15	5	face	id3	a5	n/a	n/a
315.15	5	face	id4	a1	2.25	different
320.17	5	face	id2	a4	n/a	n/a
325.16	5	face	id1	a2	2.29	different
330.13	5	fixation	n/a	n/a	n/a	n/a
